2014-03-02 01:14:00 [org.minnie.utility.persistence.MysqlDatabseHelper]-[DEBUG] Video [uuid=fc314c6f-0881-4c9a-97a5-fa60cdf133c3, number=27008, title=null, url=null, imageSource=http://yezi-img.stor.sinaapp.com/dy/201201/27008.jpg, category=null, year=0, starring=null, rate=0.0, introduction=null]
2014-03-02 01:14:00 [org.minnie.utility.persistence.MysqlDatabseHelper]-[DEBUG] Video [uuid=fc335f32-9956-48b4-9e50-5da300ed3678, number=86397, title=null, url=null, imageSource=http://yezi-img.stor.sinaapp.com/dy/201308/16064.jpg, category=null, year=0, starring=null, rate=0.0, introduction=null]
2014-03-02 01:14:00 [org.minnie.utility.persistence.MysqlDatabseHelper]-[DEBUG] Video [uuid=fc416e4a-f9d4-460d-8231-c33e39f1d97b, number=9204, title=null, url=null, imageSource=http://yezi-img.stor.sinaapp.com/dy/lunli/9204.jpg, category=null, year=0, starring=null, rate=0.0, introduction=null]
2014-03-02 01:14:00 [org.minnie.utility.persistence.MysqlDatabseHelper]-[DEBUG] Video [uuid=fc48fc58-87d7-4774-bc6d-91450f9ba570, number=83345, title=null, url=null, imageSource=http://yezi-img.stor.sinaapp.com/dy/201208/83345.jpg, category=null, year=0, starring=null, rate=0.0, introduction=null]
2014-03-02 01:14:00 [org.minnie.utility.persistence.MysqlDatabseHelper]-[DEBUG] Video [uuid=fc5187c8-67b6-4dee-80fc-c033150d8135, number=85464, title=null, url=null, imageSource=http://yezi-img.stor.sinaapp.com/dy/201304/15131.jpg, category=null, year=0, starring=null, rate=0.0, introduction=null]
2014-03-02 01:14:00 [org.minnie.utility.persistence.MysqlDatabseHelper]-[DEBUG] Video [uuid=fc548f2b-2ca1-44de-bc9d-d3f786957739, number=34737, title=null, url=null, imageSource=http://yezi-img.stor.sinaapp.com/dy/201110/34737.jpg, category=null, year=0, starring=null, rate=0.0, introduction=null]
2014-03-02 01:14:00 [org.minnie.utility.persistence.MysqlDatabseHelper]-[DEBUG] Video [uuid=fc56b916-1a2a-4d8c-a85c-abd7fbb41159, number=5571, title=null, url=null, imageSource=http://yezi-img.stor.sinaapp.com/dy/lunli2/8571.jpg, category=null, year=0, starring=null, rate=0.0, introduction=null]
2014-03-02 01:14:00 [org.minnie.utility.persistence.MysqlDatabseHelper]-[DEBUG] Video [uuid=fc57a273-17cd-4fd7-a10b-6f262337c21b, number=9118, title=null, url=null, imageSource=http://yezi-img.stor.sinaapp.com/dy/lunli/9118.jpg, category=null, year=0, starring=null, rate=0.0, introduction=null]
2014-03-02 01:14:00 [org.minnie.utility.persistence.MysqlDatabseHelper]-[DEBUG] Video [uuid=fc57fce2-ab6c-478e-a62c-d25bc0b23544, number=83350, title=null, url=null, imageSource=http://yezi-img.stor.sinaapp.com/dy/201208/83350.jpg, category=null, year=0, starring=null, rate=0.0, introduction=null]
2014-03-02 01:14:00 [org.minnie.utility.persistence.MysqlDatabseHelper]-[DEBUG] Video [uuid=fc5b9743-6dce-4dcd-8c13-1fca324ba48e, number=18674, title=null, url=null, imageSource=http://yezi-img.stor.sinaapp.com/dy/201112/18674.jpg, category=null, year=0, starring=null, rate=0.0, introduction=null]
2014-03-02 01:14:00 [org.minnie.utility.persistence.MysqlDatabseHelper]-[DEBUG] Video [uuid=fc5f0e63-e797-479d-92f4-a7e57f664f7e, number=86094, title=null, url=null, imageSource=http://yezi-img.stor.sinaapp.com/dy/201307/15761.jpg, category=null, year=0, starring=null, rate=0.0, introduction=null]
2014-03-02 01:14:00 [org.minnie.utility.persistence.MysqlDatabseHelper]-[DEBUG] Video [uuid=fc63a9a4-fec6-4823-a2a4-c1e5b014c23c, number=15823, title=null, url=null, imageSource=http://yezi-img.stor.sinaapp.com/dy/201109/15823.jpg, category=null, year=0, starring=null, rate=0.0, introduction=null]
2014-03-02 01:14:00 [org.minnie.utility.persistence.MysqlDatabseHelper]-[DEBUG] Video [uuid=fc64f647-b45d-44f4-80a5-af140932ab10, number=83655, title=null, url=null, imageSource=http://yezi-img.stor.sinaapp.com/dy/201209/83655.jpg, category=null, year=0, starring=null, rate=0.0, introduction=null]
2014-03-02 01:14:00 [org.minnie.utility.persistence.MysqlDatabseHelper]-[DEBUG] Video [uuid=fc65b1e7-ee80-4a51-870a-33a4085e7929, number=13899, title=null, url=null, imageSource=http://yezi-img.stor.sinaapp.com/dy/201109/13899.jpg, category=null, year=0, starring=null, rate=0.0, introduction=null]
2014-03-02 01:14:00 [org.minnie.utility.persistence.MysqlDatabseHelper]-[DEBUG] Video [uuid=fc6b214a-5973-4764-9b8a-b141d06d35a3, number=42871, title=null, url=null, imageSource=http://yezi-img.stor.sinaapp.com/dy/201200/42871.jpg, category=null, year=0, starring=null, rate=0.0, introduction=null]
2014-03-02 01:14:00 [org.minnie.utility.persistence.MysqlDatabseHelper]-[DEBUG] Video [uuid=fc764d64-aef8-4836-b51e-e1b04b00ba7c, number=34838, title=null, url=null, imageSource=http://yezi-img.stor.sinaapp.com/dy/201110/34838.jpg, category=null, year=0, starring=null, rate=0.0, introduction=null]
2014-03-02 01:14:00 [org.minnie.utility.persistence.MysqlDatabseHelper]-[DEBUG] Video [uuid=fc7bc8fc-0926-4316-bc26-831455b74719, number=9044, title=null, url=null, imageSource=http://yezi-img.stor.sinaapp.com/dy/lunli/9044.jpg, category=null, year=0, starring=null, rate=0.0, introduction=null]
